source,target,model,normalization,threshold_policy,elapsed_sec,n_train,n_test,n_train_groups,best_threshold,best_params,accuracy,balanced_accuracy,macro_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
wesad,nurse,xgb,per_subject,source_tuned,4.34,919,1720,15,0.8599999999999999,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.33313953488372094,0.46908389121503874,0.33286329013331983,0.20581484315225707,0.7116402116402116,0.31928783382789316,0.7360774818401937,0.22652757078986588,0.34643874643874645,0.459087360726705
wesad,nurse,rf,global,fixed_0.5,7.81,919,1720,15,0.5,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.24883720930232558,0.45021645021645024,0.24014136904761907,0.20052424639580602,0.8095238095238095,0.32142857142857145,0.6288659793814433,0.09090909090909091,0.15885416666666666,0.4827036958184499
wesad,nurse,svm,global,fixed_0.5,1.09,919,1720,15,0.5,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.2441860465116279,0.46718945899273767,0.229933146074381,0.20748730964467005,0.8650793650793651,0.33469805527123847,0.6458333333333334,0.06929955290611028,0.12516823687752354,0.4371860683336093
wesad,nurse,xgb,global,fixed_0.5,3.88,919,1720,15,0.5,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200}",0.3116279069767442,0.44769711163153786,0.3115822979077846,0.19653614457831325,0.6904761904761905,0.305978898007034,0.701530612244898,0.20491803278688525,0.31718569780853517,0.46458929655650966
wesad,nurse,rf,global,source_tuned,11.01,919,1720,15,0.4499999999999999,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.25465116279069766,0.43873946332962727,0.24953611622755967,0.1954177897574124,0.7671957671957672,0.31149301825993553,0.6271186440677966,0.11028315946348734,0.18757921419518378,0.4827036958184499
wesad,nurse,svm,global,source_tuned,1.6,919,1720,15,0.3,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.26395348837209304,0.4570529652496866,0.25815999476713763,0.20281124497991967,0.8015873015873016,0.32371794871794873,0.668141592920354,0.11251862891207154,0.19260204081632654,0.4371860683336093
wesad,nurse,xgb,global,source_tuned,5.06,919,1720,15,0.41999999999999993,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200}",0.32325581395348835,0.45229815721619004,0.3228896103896104,0.19815668202764977,0.6825396825396826,0.30714285714285716,0.7129186602870813,0.22205663189269748,0.3386363636363636,0.46458929655650966
campanella,wesad,rf,per_subject,fixed_0.5,15.11,1844,919,26,0.5,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.43307943416757344,0.4220998132222245,0.4188098200467332,0.569327731092437,0.4616695059625213,0.5098777046095955,0.2866817155756208,0.3825301204819277,0.327741935483871,0.3674750107756409
campanella,wesad,svm,per_subject,fixed_0.5,4.24,1844,919,26,0.5,"{'clf__C': 1.0, 'clf__gamma': 'scale'}",0.4504896626768226,0.46189784692432423,0.44629373115666326,0.5995145631067961,0.42078364565587734,0.4944944944944945,0.32938856015779094,0.5030120481927711,0.39809296781883197,0.41628866402577946
campanella,wesad,xgb,per_subject,fixed_0.5,7.22,1844,919,26,0.5,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200}",0.528835690968444,0.4689251041645286,0.4647468447225521,0.6184615384615385,0.6848381601362862,0.6499595796281326,0.31226765799256506,0.25301204819277107,0.2795341098169717,0.39798033702099717
