dataset,model,held_out,n_test,n_train,n_test_pos,n_test_neg,best_threshold,best_params,accuracy,balanced_accuracy,macro_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
wesad,rf,S5,61,858.0,21,40,0.30999999999999994,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",0.6721311475409836,0.7273809523809525,0.6713362068965517,0.9166666666666666,0.55,0.6875,0.5135135135135135,0.9047619047619048,0.6551724137931034,0.8214285714285715
wesad,rf,S6,61,858.0,22,39,0.37999999999999995,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.9180327868852459,0.916083916083916,0.9119769119769119,0.9473684210526315,0.9230769230769231,0.935064935064935,0.8695652173913043,0.9090909090909091,0.8888888888888888,0.9731934731934732
wesad,rf,S7,60,859.0,21,39,0.3,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.8,0.8241758241758241,0.7942857142857143,0.9354838709677419,0.7435897435897436,0.8285714285714286,0.6551724137931034,0.9047619047619048,0.76,0.9645909645909646
wesad,rf,S8,62,857.0,23,39,0.27999999999999997,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.6451612903225806,0.6555183946488294,0.6391534391534391,0.7741935483870968,0.6153846153846154,0.6857142857142857,0.5161290322580645,0.6956521739130435,0.5925925925925926,0.8483835005574136
wesad,rf,S9,60,859.0,21,39,0.36999999999999994,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",0.85,0.8626373626373627,0.8426114835324978,0.9411764705882353,0.8205128205128205,0.8767123287671232,0.7307692307692307,0.9047619047619048,0.8085106382978723,0.9010989010989011
wesad,rf,POOLED,919,,332,587,,None,0.749727965179543,0.760909053590854,0.7422040414093221,0.8650306748466258,0.7206132879045997,0.7862453531598513,0.6186046511627907,0.8012048192771084,0.6981627296587927,0.8403947989573286
wesad,svm,S10,63,856.0,24,39,0.4599999999999999,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.9523809523809523,0.9375,0.9481481481481482,0.9285714285714286,1.0,0.9629629629629629,1.0,0.875,0.9333333333333333,1.0
wesad,svm,S11,63,856.0,23,40,0.38999999999999996,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.873015873015873,0.8260869565217391,0.8492822966507176,0.8333333333333334,1.0,0.9090909090909091,1.0,0.6521739130434783,0.7894736842105263,0.9934782608695651
wesad,svm,S13,62,857.0,22,40,0.6499999999999999,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.6451612903225806,0.5,0.39215686274509803,0.6451612903225806,1.0,0.7843137254901961,0.0,0.0,0.0,0.7147727272727272
wesad,svm,S14,62,857.0,22,40,0.5499999999999999,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.8709677419354839,0.8386363636363636,0.8523809523809525,0.8636363636363636,0.95,0.9047619047619048,0.8888888888888888,0.7272727272727273,0.8,0.9590909090909091
